doi,relevant_text_extraction,synthesis_procedure_extraction,in_final_dataset
10.1002/adem.202201505,true,true,true
10.1002/adfm.201704443,true,true,true
10.1002/adfm.201910079,true,true,true
10.1002/adfm.201910123,true,true,true
10.1002/adfm.202003518,true,true,true
10.1002/adfm.202110674,true,true,true
10.1002/adfm.202205471,true,true,true
10.1002/adfm.202208821,true,true,true
10.1002/adma.201701641,true,true,true
10.1002/adma.201905200,true,true,true
10.1002/adma.202002060,true,true,true
10.1002/adma.202100404,false,false,false
10.1002/adma.202101006,true,true,true
10.1002/adma.202101342,true,true,true
10.1002/adma.202108682,true,true,true
10.1002/adma.202108835,true,true,true
10.1002/adma.202310480,true,true,true
10.1002/admt.202000600,true,true,true
10.1002/advs.201600035,true,true,true
10.1002/advs.201600203,true,true,true
10.1002/advs.201700727,true,true,true
10.1002/advs.201800278,true,true,true
10.1002/advs.201901598,true,true,true
10.1002/advs.201902409,true,true,true
10.1002/advs.201903493,true,true,true
10.1002/advs.202000070,true,true,true
10.1002/advs.202003400,true,true,true
10.1002/advs.202100895,true,true,true
10.1002/advs.202200958,true,true,true
10.1002/advs.202201823,true,true,true
10.1002/aelm.201900720,true,true,true
10.1002/aelm.201900945,true,true,true
10.1002/aelm.202000782,true,true,true
10.1002/aelm.202200053,true,true,true
10.1002/aenm.201200503,true,true,true
10.1002/aenm.201900201,true,true,true
10.1002/aenm.202100666,true,true,true
10.1002/aenm.202101021,true,true,true
10.1002/aenm.202101122,true,true,true
10.1002/aenm.202203770,true,true,true
10.1002/aenm.202301656,true,true,true
10.1002/anie.201601420,true,true,true
10.1002/anie.202002560,true,true,true
10.1002/anie.202013951,true,true,true
10.1002/anie.202106237,true,true,true
10.1002/anie.202115884,true,true,true
10.1002/anie.202210522,true,false,false
10.1002/anie.202214258,true,false,false
10.1002/anie.202216169,true,false,false
10.1002/anie.202316360,true,true,true
10.1002/batt.202000097,true,true,true
10.1002/batt.202100033,true,true,true
10.1002/batt.202100040,true,true,true
10.1002/batt.202200167,true,true,true
10.1002/batt.202200277,true,true,true
10.1002/batt.202200318,true,true,true
10.1002/batt.202200340,true,true,true
10.1002/batt.202200452,true,false,false
10.1002/celc.202200983,true,true,true
10.1002/celc.202201043,true,true,true
10.1002/cey2.116,true,true,true
10.1002/cey2.193,true,true,true
10.1002/cey2.283,true,true,true
10.1002/chem.201705211,true,true,true
10.1002/eem2.12534,true,true,true
10.1002/eem2.12824,true,true,true
10.1002/ente.202001048,true,true,true
10.1002/inf2.12214,true,true,true
10.1002/inf2.12361,true,true,true
10.1002/open.201800091,true,true,true
10.1002/pssb.201600724,true,true,true
10.1002/smll.202102045,true,true,true
10.1002/sstr.202400201,true,true,true
10.1002/zaac.202000043,true,true,true
10.1002/zaac.202000224,true,true,true
10.1007/bf00681850,true,true,true
10.1007/s00339-020-04251-5,true,true,true
10.1007/s00723-018-1064-4,true,true,true
10.1007/s10008-018-04186-1,true,true,true
10.1007/s10832-012-9683-x,true,true,true
10.1007/s10832-014-9901-9,true,true,true
10.1007/s10853-012-6827-y,true,true,true
10.1007/s10853-018-3058-x,true,true,true
10.1007/s10853-019-03496-7,true,true,true
10.1007/s10853-021-06170-z,true,true,true
10.1007/s10854-017-8013-0,true,true,true
10.1007/s10854-018-9976-1,true,true,true
10.1007/s10854-021-06743-3,true,true,true
10.1007/s10854-024-13210-2,true,true,true
10.1007/s10909-013-0885-7,true,true,true
10.1007/s10909-013-1077-1,true,true,true
10.1007/s10909-014-1262-x,true,true,true
10.1007/s10909-017-1794-y,true,true,true
10.1007/s10948-018-4697-5,true,true,true
10.1007/s10948-022-06253-1,true,true,true
10.1007/s11664-008-0641-y,true,true,true
10.1007/s11664-009-1011-0,true,true,true
10.1007/s11664-010-1074-y,true,true,true
10.1007/s11664-010-1151-2,true,true,true
10.1007/s11664-010-1155-y,true,true,true
10.1007/s11664-010-1258-5,true,true,true
10.1007/s11664-010-1312-3,true,true,true
10.1007/s11664-013-2481-7,true,true,true
10.1007/s11664-013-2805-7,true,true,true
10.1007/s11664-014-3139-9,true,true,true
10.1007/s11664-015-4037-5,true,true,true
10.1007/s11664-015-4102-0,true,true,true
10.1007/s11664-015-4242-2,true,true,true
10.1007/s11664-015-4251-1,true,true,true
10.1007/s11664-015-4275-6,true,true,true
10.1007/s11664-015-4307-2,true,true,true
10.1007/s11664-016-4669-0,true,true,true
10.1007/s11664-019-07372-7,true,true,true
10.1007/s11666-021-01228-5,true,true,true
10.1007/s11671-008-9207-4,true,true,true
10.1007/s11671-010-9664-4,true,true,true
10.1007/s11671-010-9682-2,true,true,true
10.1007/s11671-010-9690-2,true,true,true
10.1007/s11671-010-9795-7,true,true,true
10.1007/s12540-019-00457-2,true,true,true
10.1007/s13204-011-0056-6,true,true,true
10.1007/s13204-013-0241-x,true,true,true
10.1007/s13204-014-0344-z,true,true,true
10.1007/s13204-015-0462-2,true,true,true
10.1007/s13204-017-0588-5,true,true,true
10.1007/s13204-017-0623-6,true,true,true
10.1007/s40145-013-0040-6,true,false,false
10.1007/s40145-013-0084-7,true,true,true
10.1007/s40145-014-0117-x,true,false,false
10.1007/s40145-015-0153-1,true,true,true
10.1007/s40145-016-0196-y,true,true,true
10.1007/s40145-018-0267-3,true,true,true
10.1007/s40145-018-0273-5,true,true,true
10.1007/s40145-019-0333-5,true,true,true
10.1007/s40145-020-0382-9,true,true,true
10.1007/s40145-021-0462-5,true,true,true
10.1007/s40145-021-0480-3,true,true,true
10.1007/s40145-022-0599-x,true,true,true
10.1007/s40243-013-0021-2,true,true,true
10.1007/s40243-014-0026-5,true,true,true
10.1007/s40243-014-0031-8,true,true,true
10.1007/s40243-016-0086-9,true,true,true
10.1007/s40243-017-0109-1,true,true,true
10.1007/s40243-020-00186-2,true,true,true
10.1007/s40820-020-00471-9,true,true,true
10.1007/s40820-021-00623-5,true,true,true
10.1007/s40820-021-00687-3,true,true,true
10.1007/s40820-022-00914-5,true,true,true
10.1007/s40820-022-00932-3,true,true,true
10.1007/s40820-022-00935-0,true,true,true
10.1007/s40820-022-00967-6,true,true,true
10.1007/s42452-021-04540-5,true,true,true
10.1016/0378-4363(87)90230-0,true,true,true
10.1016/0921-4534(88)90134-7,true,true,true
10.1016/j.actamat.2015.09.036,true,true,true
10.1016/j.actamat.2021.116867,true,true,true
10.1016/j.actamat.2021.117136,false,false,false
10.1016/j.apcatb.2015.08.006,true,true,true
10.1016/j.applthermaleng.2020.115206,true,false,false
10.1016/j.arabjc.2015.10.001,true,true,true
10.1016/j.arabjc.2018.03.005,true,true,true
10.1016/j.bsecv.2015.02.004,true,true,true
10.1016/j.bsecv.2015.11.001,true,true,true
10.1016/j.bsecv.2017.10.003,true,true,true
